rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
57	C15H26O9	[M - H]-	C15H26O9	0.9999999999999999	41.96217623609576	38.40839116855991	3.5537850675358484	6	0.6856956370013718	-1.848935445089258	1.848935445089258	-0.30613648078764905		349.15030	83.278	36_2211_36
58	C30H46O6	[M - H]-	C30H46O6	0.9999999999999999	41.866766565253954	38.35732435495697	3.5094422102969824	11	0.8576745404447437	0.4192889145530478	2.1187412790613736	-0.951382929068971		501.32169	235.666	205_2211_205
59	C28H44O3	[M - H]-	C28H44O3	0.9999999999999999	41.39202308716493	37.881054202314864	3.510968884850065	8	0.6396156385813793	-0.30511385615660475	0.9084513264662549	-42148.49455635446		427.32138	385.771	492_2211_492
60	C30H44O6	[M - H]-	C30H44O6	0.9999999999999999	41.38860156933996	37.67340482731821	3.7151967420217535	8	0.8450360266626551	-0.3549458079544278	1.1793230228541893	-36071.526900388184		499.30634	149.99	96_2211_96
61	C36H54N4O5	[M - H]-	C36H54N4O5	0.9999999999999999	41.36658616076521	41.36658616076521	0.0	18	0.9005941208621768	-0.791114857342995	1.5527342377169764	-57970.48676245267		621.40039	344.049	400_2211_400
62	C35H56N4O6	[M + Cl]-	C35H56N4O6	0.9999999999999999	41.35703945381114	41.35703945381114	0.0	15	0.9290928379920752	-2.416631352880774	2.761860284177058	0.39443725306617616		663.38965	246.843	231_2211_231
63	C28H48O6	[M - H]-	C28H48O6	0.9999999999999999	41.20609265866592	37.5056245826092	3.7004680760567252	8	0.885464160064843	-1.2060725689290526	1.2060725689290526	-1.0473061088180091		479.33731	330.774	379_2211_379
64	C41H50N4O5	[M - H]-	C41H50N4O5	0.9999999999999999	40.74403521392914	40.74403521392914	0.0	10	0.8457676664833199	-0.8407667570419619	2.1061338595369703	-2.3348455327570354		677.36926	218.122	178_2211_178
65	C16H26O4	[M - H]-	C16H26O4	0.9999999999999999	40.694483094442916	38.56121424747055	2.1332688469723613	6	0.7886735453301733	-1.222937209793667	1.222937209793667	-64055.34306046069		281.17560	216.897	176_2211_176
66	C30H46O6	[M - H]-	C30H46O6	0.9999999999999999	40.47928373233	36.685129461131055	3.794154271198947	9	0.48092235539294015	0.9159489970179315	1.549063099205698	-35926.48393975087		501.32199	175.908	124_2211_124
