feature_id	component_id	precursor_mz
510	1	700.6100463867188
511	4	1025.253173828125
512	5	231.931396484375
513	1	844.5608520507812
514	19	744.6356811523438
515	1	535.4728393554688
516	1	844.5615234375
517	1	144.9221954345703
518	19	744.6360473632812
519	1	429.9898681640625
52	1	217.10748291015625
520	1	726.6259155273438
521	1	826.5512084960938
522	-1	445.98492431640625
523	5	187.9410858154297
524	-1	311.16888427734375
525	5	231.93112182617188
526	5	187.94088745117188
527	1	299.9193420410156
528	1	299.9189453125
529	28	362.87518310546875
53	1	265.0715026855469
530	1	242.94337463378906
531	28	362.8754577636719
532	7	173.92518615722656
533	21	194.9234619140625
534	7	174.95526123046875
535	1	322.8871154785156
536	7	174.95501708984375
537	21	192.92794799804688
538	1	322.8867492675781
539	5	129.93502807617188
54	1	229.10760498046875
540	3	116.92733764648438
541	14	246.88633728027344
542	1	304.9139099121094
543	14	246.885986328125
544	1	338.8594055175781
545	1	290.85394287109375
546	1	338.85888671875
547	1	320.8861389160156
548	1	290.8536682128906
549	1	320.8865966796875
55	1	185.0809326171875
550	1	190.92750549316406
551	1	146.93739318847656
552	1	336.858642578125
553	1	258.9155578613281
554	1	482.7888488769531
555	1	188.93228149414062
556	1	144.9420928955078
557	1	190.92771911621094
558	1	336.8590087890625
559	1	188.93251037597656
56	1	259.118408203125
560	1	334.8635559082031
561	1	144.94229125976562
562	1	334.8633117675781
563	1	235.9258575439453
564	1	453.7864990234375
565	1	453.78607177734375
566	1	207.93064880371094
567	1	187.88800048828125
568	-1	162.89254760742188
569	1	207.930419921875
57	1	329.12164306640625
570	-1	225.89706420898438
58	1	391.092041015625
59	13	371.113037109375
6	5	261.8509521484375
60	1	455.0956115722656
61	1	532.0304565429688
62	1	387.10833740234375
63	1	231.12318420410156
64	25	363.1658630371094
65	1	187.09649658203125
66	1	209.07862854003906
67	1	271.0496826171875
68	1	397.183837890625
69	1	332.0196838378906
7	5	233.9302520751953
70	1	287.0220947265625
71	1	277.0667724609375
72	13	371.1133117675781
73	1	317.1602783203125
74	1	387.1084289550781
75	-1	245.13897705078125
76	1	265.1055603027344
77	-1	343.2124938964844
78	1	275.14990234375
79	6	159.1015625
8	3	256.846435546875
80	1	201.1123504638672
81	-1	369.09759521484375
82	-1	287.14990234375
83	1	225.1125946044922
84	15	345.2279357910156
85	7	174.9549560546875
86	1	235.09469604492188
87	1	227.12835693359375
88	1	223.0969696044922
89	24	337.1081848144531
9	1	299.098388671875
90	-1	369.1339416503906
91	1	215.12818908691406
92	7	164.9263458251953
93	1	268.09771728515625
94	1	449.2754821777344
95	1	307.1185607910156
96	1	242.1756591796875
97	-1	275.1287841796875
98	1	417.21270751953125
99	1	169.08592224121094
